label21.Text	Requêtes de paquets sortants
label18.Text	Paquets sans route
label20.Text	Routages rejetés
label19.Text	Rejets de paquets transmis
groupBoxGlobalOutbound.Text	Paquets sortants
label11.Text	Paquets de protocole inconnu
label12.Text	Paquets avec entêtes erronés
label13.Text	Paquets avec adresses erronées
label14.Text	Paquets transférés
label15.Text	Paquets rejetés
label16.Text	Paquets livrés
label17.Text	Paquets reçus
groupBoxGlobalInbound.Text	Paquets entrants
label22.Text	Paquets réassemblés
label23.Text	Paquets fragmentés
label24.Text	Temps limite pour réassemblage
label25.Text	Réassemblages échoués
label26.Text	Réassemblages requis
label27.Text	Fragmentation de paquets échoués
groupBoxGlobalFragmentation.Text	Fragmentation des paquets
label10.Text	Type de noeud
label9.Text	Est un proxy WINS
label8.Text	Nom d'hôte
label7.Text	Nom de domaine
label6.Text	Nom de l'étendue DHCP
label5.Text	Nombre de routes
label4.Text	Nombre d'adresses IP
label3.Text	Nombre d'interfaces
label2.Text	Transfert activé
label1.Text	TTL par défaut
groupBoxGlobalMisc.Text	Divers
tabPageGlobal.Text	Statistiques globales
label64.Text	Support de multicast
label65.Text	Vitesse
label61.Text	Réception seulement
label66.Text	Etat
label58.Text	Type de l'interface réseau
label59.Text	Nom
label60.Text	Index de l'int. de loopback
groupBox6.Text	Propriétés (2)
label57.Text	Adresses des serveurs WINS
label55.Text	Adresses unicast
label56.Text	Adresses multicast
label47.Text	DNS dynamiques activés
label48.Text	DNS activé
label49.Text	Adresses des passerelles
label50.Text	Suffixe DNS
label52.Text	Adresses des serveurs DNS
label53.Text	Adresses des serveurs DHCP
label54.Text	Adresses Anycast
groupBox5.Text	Configuration IP
label42.Text	Utilise WINS
label30.Text	Transfert de paquet activé
label31.Text	DHCP activé
label32.Text	Adresse APIPA activée
label37.Text	A une adresse APIPA
groupBox4.Text	Propriétés (1)
label41.Text	Paquets unicast envoyés
label43.Text	Longueur de queue de sortie
label44.Text	Paquets sortants erronés
label45.Text	Paquets sortants rejetés
label46.Text	Paquets non-unicast envoyés
label51.Text	Octets envoyés
groupBox3.Text	Envoi
label40.Text	Paquets unicast reçus
label33.Text	Paquets non-unicast reçus
label34.Text	Paquets entrants de protocole inconnu
label35.Text	Paquets entrants erronés
label36.Text	Paquets entrants rejetés
label38.Text	Octets reçus
groupBox2.Text	Réception
tabPageNetworkInterfaces.Text	Statistiques des interfaces réseau
label81.Text	Erreurs TCP reçues
