tabPageGlobal.Text	Общая статистика
tabPageNetworkInterfaces.Text	Статистика сетевого интерфейса
tabPageTCP.Text	Статистика TCP
tabPageTCPConnections.Text	Соединения TCP
tabPageTCPListeners.Text	Прослушивание TCP
tabPageUDP.Text	Статистика UDP
tabPageUDPListeners.Text	Прослушивание UDP
tabPageICMPv4.Text	Статистика ICMPv4
tabPageICMPv6.Text	Статистика ICMPv6
groupBoxGlobalOutbound.Text	Исходящие пакеты
label21.Text	Запросы исходящих пакетов
label18.Text	Пакеты без маршрута
label20.Text	Маршрутизация отбрасываний
label19.Text	Отклонено переданных пакетов
groupBoxGlobalInbound.Text	Входящие пакеты
label11.Text	Пакеты с неизвестным протоколом
label12.Text	Пакеты с ошибками заголовка
label13.Text	Пакеты с ошибками адреса
label14.Text	Переслано пакетов
label15.Text	Отклонено пакетов
label16.Text	Доставлено пакетов
label17.Text	Получено пакетов
groupBoxGlobalFragmentation.Text	Фрагментация пакета
label22.Text	Пересобранные пакеты
label23.Text	Фрагментировано пакетов
label24.Text	Таймаут повторной сборки
label25.Text	Сбой повторной сборки
label26.Text	Требуется повторная сборка
label27.Text	Ошибки фрагментации пакетов
groupBoxGlobalMisc.Text	Разное
label10.Text	Тип узла
label9.Text	Является WINS-прокси
label8.Text	Имя хоста
label7.Text	Доменное имя
label6.Text	Имя области DHCP
label5.Text	Количество маршрутов
label4.Text	Количество IP-адресов
label3.Text	Количество интерфейсов
label2.Text	Переадресация включена
label1.Text	TTL по умолчанию
groupBox6.Text	Свойства (2)
label144.Text	MAC-адрес
label64.Text	Поддержка многоадресной рассылки
label65.Text	Скорость
label61.Text	Только прием
label66.Text	Статус операции
label58.Text	Тип сетевого интерфейса
label59.Text	Имя
label60.Text	Индекс петлевого интерфейса
label63.Text	Описание
groupBox5.Text	Конфигурация IP
label57.Text	Адреса WINS-сервера
label55.Text	Адреса одноадресной рассылки
label56.Text	Адреса многоадресной рассылки
label47.Text	Динамический DNS включен
label48.Text	DNS включен
label49.Text	Адреса шлюза
label50.Text	DNS-суффикс
label52.Text	Адреса DNS
label53.Text	Адреса DHCP-сервера
label54.Text	Адреса произвольной рассылки
groupBox4.Text	Свойства (1)
label42.Text	Используется WINS
label30.Text	Переадресация пакетов включена
label31.Text	DHCP включен
label32.Text	Адрес APIPA включен
label37.Text	Имеется адрес APIPA
label39.Text	Индекс
groupBox3.Text	Отдано
label41.Text	Отпр. одноадресных пакетов
label43.Text	Длина очереди вывода
label44.Text	Исх. пакеты с ошибками
label45.Text	Отклонено исх. пакетов
label46.Text	Отп. неодноадресных пакетов
label51.Text	Отправлено байт
groupBox2.Text	Получено
label40.Text	Получено одноадресных пакетов
label33.Text	Получено не одноадресных пакетов
label34.Text	Вх. пакеты с неизвестным протоколом
label35.Text	Входящие пакеты с ошибками
label36.Text	Отклонено входящих пакетов
label38.Text	Получено байт
groupBox9.Text	Статистика ошибок TCP
label81.Text	Получено ошибок TCP
groupBox8.Text	татистика сегментов TCP
label82.Text	Получено сегментов TCP
label83.Text	Отправлено TCP сброс (RST флаг)
label84.Text	Повторно отправлено сегментов TCP
label85.Text	Отправлено сегментов TCP
label86.Text	Минимальный таймаут передачи сегментов TCP
label93.Text	Максимальный таймаут передачи сегментов TCP
groupBox7.Text	Статистика соединений TCP
label68.Text	Установлено TCP-соединений
label69.Text	Макс. число поддерживаемых соединений TCP
label70.Text	Неудачные попытки соединения TCP
label71.Text	Сброс соединений TCP
label72.Text	Текущие соединения TCP
label73.Text	Инициировано запросов на TCP-соединения
label75.Text	Принято запросов на соединение TCP
btnSelectAll.Text	Выбрать все
